leaid,leaname,BLP,BLPPer,HSP,HSPPer,MFI,grade,Region,gapblk_ela,gapseblk_ela,gaphsp_ela,gapsehsp_ela,gapblk_math,gapseblk_math,gaphsp_math,gapsehsp_math,racepercent_ela,racepercent_math,fipst
3700011,CUMBERLAND COUNTY SCHOOLS,104540,37.1,15673,5.6,51132,3,4,0.72918063,0.039429843,0.40341941,0.071266882,0.76395142,0.040507417,0.30866122,0.072928384,0.94221669,0.94231725,37
3700011,CUMBERLAND COUNTY SCHOOLS,104540,37.1,15673,5.6,51132,4,4,0.75700432,0.039559051,0.50683039,0.071937472,0.75485599,0.040871721,0.36324894,0.073739141,0.94694084,0.94694084,37
3700011,CUMBERLAND COUNTY SCHOOLS,104540,37.1,15673,5.6,51132,5,4,0.72600007,0.041000955,0.35378376,0.073894933,0.72691774,0.041340463,0.26422742,0.07529261,0.95194328,0.9519937,37
3700011,CUMBERLAND COUNTY SCHOOLS,104540,37.1,15673,5.6,51132,6,4,0.64589238,0.039023422,0.35371378,0.073712394,0.70555681,0.040111456,0.38850322,0.074898504,0.95746833,0.95747912,37
3700011,CUMBERLAND COUNTY SCHOOLS,104540,37.1,15673,5.6,51132,7,4,0.70710665,0.040543482,0.38210729,0.073330194,0.69077164,0.042202204,0.39888641,0.074454084,0.9543947,0.95438206,37
3700011,CUMBERLAND COUNTY SCHOOLS,104540,37.1,15673,5.6,51132,8,4,0.69586754,0.040770493,0.32148406,0.076397792,0.64236724,0.040878449,0.19502534,0.075535551,0.95672452,0.95672452,37
3700012,PITT COUNTY SCHOOLS,50384,33.2,6616,4.4,52160,3,1,1.1201015,0.06045955,1.2156076,0.10516199,1.1498445,0.062921666,0.8734417,0.10328872,0.96416575,0.96418577,37
3700012,PITT COUNTY SCHOOLS,50384,33.2,6616,4.4,52160,4,1,0.96176416,0.061393917,0.86126173,0.095047131,0.9714554,0.062878452,0.72876239,0.096883379,0.95731705,0.95734072,37
3700012,PITT COUNTY SCHOOLS,50384,33.2,6616,4.4,52160,5,1,0.90176415,0.061075173,0.67538631,0.10327835,0.86870199,0.061158359,0.4325808,0.10605204,0.96620047,0.96622014,37
3700012,PITT COUNTY SCHOOLS,50384,33.2,6616,4.4,52160,6,1,1.1156411,0.063194335,0.78392416,0.11294615,1.219559,0.066151321,0.85715407,0.11549002,0.95582825,0.95585531,37
3700012,PITT COUNTY SCHOOLS,50384,33.2,6616,4.4,52160,7,1,0.91225386,0.059772216,0.79093653,0.11740975,0.89417028,0.061831564,0.48512113,0.1239861,0.96778268,0.96782333,37
3700012,PITT COUNTY SCHOOLS,50384,33.2,6616,4.4,52160,8,1,1.1515903,0.06340339,1.0639933,0.11830465,1.1509075,0.06364128,0.84295553,0.11200394,0.97069377,0.97076374,37
3700030,ALAMANCE-BURLINGTON SCHOOLS,26038,18,15296,10.6,52702,3,5,0.76244467,0.066676386,0.81193668,0.068011492,0.75363576,0.06985148,0.54425913,0.068962403,0.93129361,0.93129361,37
3700030,ALAMANCE-BURLINGTON SCHOOLS,26038,18,15296,10.6,52702,4,5,0.69356823,0.06556607,0.68926197,0.071166001,0.74122614,0.0689677,0.49596092,0.072652422,0.94756556,0.94756556,37
3700030,ALAMANCE-BURLINGTON SCHOOLS,26038,18,15296,10.6,52702,5,5,0.60395116,0.068948053,0.86913693,0.074739911,0.69802493,0.070667423,0.4588967,0.072927162,0.95074457,0.95085716,37
3700030,ALAMANCE-BURLINGTON SCHOOLS,26038,18,15296,10.6,52702,6,5,0.77002782,0.067222327,0.7483362,0.072250105,0.87433529,0.069132611,0.6963886,0.073328391,0.95734072,0.95741153,37
3700030,ALAMANCE-BURLINGTON SCHOOLS,26038,18,15296,10.6,52702,7,5,0.73357749,0.067862414,0.7247318,0.074031621,0.78312367,0.070282035,0.41717541,0.075963408,0.96480089,0.96486175,37
