leaid,leaname,BLPPer,HSPPer,MFI,grade,Region,gapblk_ela,gaphsp_ela,gapblk_math,gaphsp_math,racepercent_ela
3700011,CUMBERLAND COUNTY SCHOOLS,37.1,5.6,51132,3,4,0.72918063,0.40341941,0.76395142,0.30866122,0.94221669
3700011,CUMBERLAND COUNTY SCHOOLS,37.1,5.6,51132,4,4,0.75700432,0.50683039,0.75485599,0.36324894,0.94694084
3700011,CUMBERLAND COUNTY SCHOOLS,37.1,5.6,51132,5,4,0.72600007,0.35378376,0.72691774,0.26422742,0.95194328
3700011,CUMBERLAND COUNTY SCHOOLS,37.1,5.6,51132,6,4,0.64589238,0.35371378,0.70555681,0.38850322,0.95746833
3700011,CUMBERLAND COUNTY SCHOOLS,37.1,5.6,51132,7,4,0.70710665,0.38210729,0.69077164,0.39888641,0.9543947
3700011,CUMBERLAND COUNTY SCHOOLS,37.1,5.6,51132,8,4,0.69586754,0.32148406,0.64236724,0.19502534,0.95672452
3700012,PITT COUNTY SCHOOLS,33.2,4.4,52160,3,1,1.1201015,1.2156076,1.1498445,0.8734417,0.96416575
3700012,PITT COUNTY SCHOOLS,33.2,4.4,52160,4,1,0.96176416,0.86126173,0.9714554,0.72876239,0.95731705
3700012,PITT COUNTY SCHOOLS,33.2,4.4,52160,5,1,0.90176415,0.67538631,0.86870199,0.4325808,0.96620047
3700012,PITT COUNTY SCHOOLS,33.2,4.4,52160,6,1,1.1156411,0.78392416,1.219559,0.85715407,0.95582825
3700012,PITT COUNTY SCHOOLS,33.2,4.4,52160,7,1,0.91225386,0.79093653,0.89417028,0.48512113,0.96778268
3700012,PITT COUNTY SCHOOLS,33.2,4.4,52160,8,1,1.1515903,1.0639933,1.1509075,0.84295553,0.97069377
3700030,ALAMANCE-BURLINGTON SCHOOLS,18,10.6,52702,3,5,0.76244467,0.81193668,0.75363576,0.54425913,0.93129361
3700030,ALAMANCE-BURLINGTON SCHOOLS,18,10.6,52702,4,5,0.69356823,0.68926197,0.74122614,0.49596092,0.94756556
